REGISTRATION,aircraft_type,ON BLOCK,OFF BLOCK,parking_stand,FROM,TO,ARR,DEP,operator_airline,category,aircraft_size,airline_tier,stand_zone,IS_SYNTHETIC,TYPE,OPERATOR / AIRLINES,CATEGORY,PARKING STAND
SYNTH-29,,,,,,,,,,,,,,True,A320,BATIK AIR,COMMERCIAL,A3
SYNTH-399,,,,,,,,,,,,,,True,B742,CITILINK CARGO,CARGO,B9
PK-GQJ,A 320,16:55,17:38,B2,WADD,WADD,QG 0195,QG 0194,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-208,,,,,,,,,,,,,,True,CRV,AIRNESIA,CARGO,B12
PK-YSH,B 733,6:58,16:44,B13,WAMM,WIOO,IL 730,IL 741,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-GGC,B 735,10:07,15:08,B13,SA17,WAGG,,QG 7452,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-278,,,,,,,,,,,,,,True,G IV,JIP,CHARTER,B7
SYNTH-459,,,,,,,,,,,,,,True,B742,BBN,CARGO,B7
PK-GJT,ATR 72,12:44,13:23,B5,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-150,,,,,,,,,,,,,,True,B738,BATIK AIR,COMMERCIAL,A3
SYNTH-144,,,,,,,,,,,,,,True,B350,TRAVIRA,CHARTER,B4
PK-LAF,A 320,6:12,7:28,B3,WARR,WIPP,ID 7508,ID 7053,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUS,A 320,19:01,19:57,B9,WIMM,WARR,ID 7010,ID 7521,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-696,,,,,,,,,,,,,,True,B737,PELITA,COMMERCIAL,B11
PK-BKU,A 320,8:38,9:30,A3,WARR,WARR,ID 7510,ID 7517,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-TUN,HK 850,12:10,13:56,B4,NSA13,WAOO,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-328,,,,,,,,,,,,,,True,C404,BIOMANTARA,CHARTER,B9
PK-LUQ,A 320,8:19,9:21,B7,WIPP,WADD,ID 7056,ID 7309,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-532,,,,,,,,,,,,,,True,ATR42,BATIK AIR,COMMERCIAL,B7
PK-LAQ,A 320,6:19,7:38,A3,WARR,WARA,ID 7508,ID 7581,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUK,A 320,21:15,,B7,WARR,,ID 7518,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-364,,,,,,,,,,,,,,True,B733,AFM,CHARTER,B13
N-939SG,G VI,16:28,17:58,B7,YSSY,HGR,,,BIOMANTARA,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GJT,ATR 72,13:02,13:33,B4,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
N-227GV,L 1000,14:21,,A1,SA11,,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-TFS,EMB 135,10:36,11:06,B6,WAMP,HGR,,,IAT,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-453,,,,,,,,,,,,,,True,DC10,TRIGANA,CARGO,B8
N-38SV,LJ 60,16:20,18:59,B4,NSA09,WIGG,,,BGS,CHARTER,STANDARD,LOW_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-SUSI-172,,,,,,,,,,,,,,True,PC6,SUSI AIR,COMMERCIAL,A0
PK-KAS,CL 850,9:02,11:22,B8,RE07,WMSA,-,CEO31,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-377,,,,,,,,,,,,,,True,A321,SUSI AIR,COMMERCIAL,A2
PK-LUS,A 320,9:15,9:54,A2,WARR,WAHI,ID 7510,ID 7533,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKJ,A 320,6:13,6:10,A3,WARR,WIPP,ID 7508,ID 7053,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-TFS,EMB 135,13:02,13:15,B5,WIMN,HGR,,,IAT,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAZ,A 320,16:16,22:22,A2,WARR,SA15,ID 7514,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-320,,,,,,,,,,,,,,True,B350,AFM,CHARTER,B8
SYNTH-237,,,,,,,,,,,,,,True,C404,TAS,CHARTER,B6
PK-VVM,C 208,7:20,7:45,B4,B3,WICN,-,SI 234,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-301,,,,,,,,,,,,,,True,CL604,TRAVIRA,CHARTER,B2
PK-LUR,A 320,13:34,18:33,B8,WAHQ,WIBB,ID 7532,ID 7065,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-YRD,B 733,5:03,7:13,B11,WIMM,WALL,IL 702,IL 727,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
N-970NX,GLEX,17:49,18:43,B2,WSSL,A1,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-486,,,,,,,,,,,,,,True,B733,TRI MG,CARGO,B6
SYNTH-146,,,,,,,,,,,,,,True,ATR72,PELITA,COMMERCIAL,A1
PK-JCO,PH 300,6:55,8:56,B6,HGR,WADD,,,PURAWISATA,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-808,G VI,14:47,16:41,B4,HGR,WSSL,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-SUSI-215,,,,,,,,,,,,,,True,PC6,SUSI AIR,COMMERCIAL,A0
SYNTH-66,,,,,,,,,,,,,,True,CRV,BBN,CARGO,B13
PK-BKV,A 320,14:15,14:55,A3,WAHQ,WAHS,ID 7532,ID 7559,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-386,,,,,,,,,,,,,,True,CRV,BBN,CARGO,B10
SYNTH-287,,,,,,,,,,,,,,True,ATR42,GARUDA,COMMERCIAL,B1
SYNTH-500,,,,,,,,,,,,,,True,B742,BBN,CARGO,B4
SYNTH-96,,,,,,,,,,,,,,True,B733,B.B.N AIRLINES,CARGO,B13
SYNTH-107,,,,,,,,,,,,,,True,B738,PELITA,COMMERCIAL,A1
PK-GQI,A 320,11:57,13:52,B1,WIMN,WARA,QG 0021,QG 0164,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GQG,A 320,20:10,,A3,WARR,,QG 0173,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-571,,,,,,,,,,,,,,True,B738,FLY JAYA,COMMERCIAL,A1
PK-LUS,A 320,20:58,,B7,WARR,,ID 7502,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-VVF,C 208,7:06,8:30,A0,WICN,WICN,SI 235,SI 234,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-808,G VI,14:56,15:37,B8,WSSL,HGR,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-272,,,,,,,,,,,,,,True,ATR42,PELITA,COMMERCIAL,A2
SYNTH-236,,,,,,,,,,,,,,True,B733,TRIGANA,CARGO,B12
SYNTH-37,,,,,,,,,,,,,,True,G IV,BIOMANTARA,CHARTER,B3
PK-LUI,A 320,13:49,14:42,B1,WAHS,WIMM,ID 7556,ID 7011,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAJ,A 320,14:46,17:21,A1,WARA,WADD,ID 7582,ID 7311,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKU,A 320,15:54,,B8,WIPP,,ID 7052,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LUJ,A 320,12:05,12:50,A1,WARR,WARR,ID 7516,ID 7515,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-475,,,,,,,,,,,,,,True,B742,TRI MG,CARGO,B7
SYNTH-74,,,,,,,,,,,,,,True,A321,GARUDA,COMMERCIAL,B2
PK-LUV,A 320,20:38,,B7,WARR,,ID 7502,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-YST,B 733,11:14,14:23,B11,,WIKK,IL 7161,IL 715,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-334,,,,,,,,,,,,,,True,CL604,BIOMANTARA,CHARTER,A3
PK-LAI,A 320,12:09,12:55,A1,WAHQ,WARR,ID 7040,ID 7515,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-THT,ATR 42,11:39,13:08,B2,HGR,WARA,,,IAT,CHARTER,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-109,,,,,,,,,,,,,,True,B350,PREMI,CHARTER,B4
SYNTH-SUSI-204,,,,,,,,,,,,,,True,C182,SUSI AIR,COMMERCIAL,A0
PK-TWW,C 212,11:03,11:19,A3,WILB,HGR,,,TRANSWISATA,CHARTER,STANDARD,LOW_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-486,,,,,,,,,,,,,,True,ATR42,CITILINK,COMMERCIAL,A2
PK-GFX,B 738,11:57,12:53,B2,WIMM,WARR,GA 0181,GA 0330,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUI,A 320,7:57,9:12,A2,WIBB,WADD,ID 7066,ID 7309,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LUH,A 320,13:44,14:48,A1,WARR,WARR,ID 7520,ID 7501,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-S16,G 500,8:00,9:22,B3,OMDW,HGR,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUY,A 320,14:14,15:11,A3,WADD,WIEE,ID 7308,ID 7109,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-316,,,,,,,,,,,,,,True,C404,PREMI,CHARTER,B8
PK-OTR,ATR 72,17:36,18:53,A2,WIDM,RW05,RI 151,,TAS,CHARTER,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
T7-A187,GLEX,11:24,14:26,B7,HGR,WSSL,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-187,,,,,,,,,,,,,,True,B733,KARISMA,CHARTER,B5
SYNTH-360,,,,,,,,,,,,,,True,A320,BATIK AIR,COMMERCIAL,A1
SYNTH-77,,,,,,,,,,,,,,True,B737,GARUDA,COMMERCIAL,B2
SYNTH-536,,,,,,,,,,,,,,True,B733,TRIGANA,CARGO,A1
PK-BBJ,B 734,19:55,21:06,B11,SA17,WAAA,,0B 5023,B. B. N.,CHARTER,STANDARD,MEDIUM_FREQUENCY,LEFT_CARGO,False,,,,
PK-LAI,A 320,17:26,18:42,B6,WAHS,WIBB,ID 7558,ID 7065,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-38,,,,,,,,,,,,,,True,B733,JIP,CHARTER,B3
T7-HKG,PH 300,4:48,6:28,B6,HGR,WIDD,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-336,,,,,,,,,,,,,,True,B733,TAS,CHARTER,A1
PK-BKV,A 320,18:04,18:50,B7,WARR,WIBB,ID 7512,ID 7065,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-MRC,EMB 135,14:15,15:22,B6,WSSL,SA09,,,AMM,CHARTER,STANDARD,LOW_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GTK,A 320,9:55,11:01,A2,WARR,WIPP,QG 0171,QG 0088,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-FJA,ATR 72,7:28,8:06,B2,WAHH,WAHH,KS 101,KS 102,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-289,,,,,,,,,,,,,,True,ATR72,GARUDA,COMMERCIAL,B1
N-399FF,GV,16:33,17:55,B5,WMSA,VOHS,,,BIOMANTARA,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-261,,,,,,,,,,,,,,True,B733,PREMI,CHARTER,B7
SYNTH-192,,,,,,,,,,,,,,True,G IV,BIOMANTARA,CHARTER,B5
PK-MGZ,B 733,15:42,22:40,B12,WICC,WSSS,,,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-VVH,C 208,8:41,09;40,B1,RW03,WICN,,,SUSI AIR,COMMERCIAL,SMALL_A0_COMPATIBLE,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKV,A 320,12:35,13:36,B6,WARR,WIPP,ID 7516,ID 7051,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-YRD,B 733,7:03,9:38,B11,,WAOO,IL 730,IL 725,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-168,,,,,,,,,,,,,,True,CL604,BIOMANTARA,CHARTER,B4
SYNTH-248,,,,,,,,,,,,,,True,ATR42,GARUDA,COMMERCIAL,B1
PK-LUT,A 320,19:40,20:18,A3,WIEE,WARR,ID 7108,ID 7521,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GTD,A 320,9:19,11:05,A3,,WIPP,QG 0175,QG 0088,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-53,,,,,,,,,,,,,,True,A321,FLY JAYA,COMMERCIAL,B1
N-977JH,CT 680,12:41,13:08,B4,BASE OPS,WAOC,,,JIP,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-178,,,,,,,,,,,,,,True,A321,PELITA,COMMERCIAL,A1
PK-GQL,A 320,20:42,,B7,WARR,,QG 0173,,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-440,,,,,,,,,,,,,,True,A320,SUSI AIR,COMMERCIAL,A2
PK-GJV,ATR 72,9:01,9:35,B2,WAHH,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAM,A 320,10:42,13:44,B7,,WIMM,ID 7580,ID 7011,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-YST,B 733,21:28,22:32,B4,WIDN,WAAA,IL 718,IL 723,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUV,A 320,10:25,11:19,B8,WIPP,WARA,ID 7054,ID 7583,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-GJT,ATR 72,13:20,13:50,B1,WAHH,WAHH,QG 1103,QG 1102,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-564,,,,,,,,,,,,,,True,A320,SUSI AIR,COMMERCIAL,B1
PK-THT,ATR 42,8:00,9:02,B6,HGR,WAGI,,,IAT,CHARTER,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-YSH,B 733,10:25,13:34,B13,WAGG,WAGG,IL 7141,IL 713,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-158,,,,,,,,,,,,,,True,CRV,B.B.N AIRLINES,CARGO,B12
SYNTH-495,,,,,,,,,,,,,,True,B738,SUSI AIR,COMMERCIAL,A3
SYNTH-289,,,,,,,,,,,,,,True,CL850,KARISMA,CHARTER,B2
PK-YSH,B 733,15:06,17:40,B12,WAGG,WALL,IL 714,IL 727,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-130,,,,,,,,,,,,,,True,CL850,PREMI,CHARTER,B4
SYNTH-448,,,,,,,,,,,,,,True,B738,GARUDA,COMMERCIAL,A3
SYNTH-27,,,,,,,,,,,,,,True,B733,B.B.N AIRLINES,CARGO,B13
PK-GJV,ATR 72,10:20,10:47,B5,WAHH,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-345,,,,,,,,,,,,,,True,CL850,KARISMA,CHARTER,B10
SYNTH-115,,,,,,,,,,,,,,True,B733,BBN,CARGO,B13
PK-BKF,A 320,18:42,,B7,WIMM,,ID 7010,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-213,,,,,,,,,,,,,,True,B733,BBN,CARGO,B12
SYNTH-235,,,,,,,,,,,,,,True,B742,CITILINK CARGO,CARGO,B12
PK-LUQ,A 320,15:55,16:47,A1,WARR,WIPP,ID 7514,ID 7059,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-MGZ,B 733,5:01,6:07,B12,WSSS,WALL,GM 019,GM 061,TRI MG,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-GQA,A 320,17:08,17:48,B3,WADD,WADD,QG 0195,QG 0194,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAZ,A 320,12:58,13:46,A1,WARR,WIPP,ID 7516,ID 7051,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-416,,,,,,,,,,,,,,True,A320,BATIK AIR,COMMERCIAL,A1
SYNTH-469,,,,,,,,,,,,,,True,B742,B.B.N AIRLINES,CARGO,B7
PK-GLY,A 320,17:13,17:47,B3,WADD,WADD,QG 0195,QG 0194,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LUK,A 320,9:10,9:50,B1,WARR,WARR,ID 7510,ID 7517,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-391,,,,,,,,,,,,,,True,MD11,CITILINK CARGO,CARGO,B9
SYNTH-36,,,,,,,,,,,,,,True,MD11,BBN,CARGO,B13
SYNTH-163,,,,,,,,,,,,,,True,A321,SUSI AIR,COMMERCIAL,A0
SYNTH-653,,,,,,,,,,,,,,True,B738,CITILINK,COMMERCIAL,B6
PK-FJA,ATR 72,7:10,7:40,B2,WAHH,WAHH,KS 101,KS 102,FLY JAYA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKY,A 320,11:52,12:35,B1,WARA,WARA,ID 7580,ID 7583,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAJ,A 320,16:46,17:30,B8,WIPP,WARR,ID 7052,ID 7503,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-PAH,ATR 72,21:07,,B3,RE02,,,,PELITA,COMMERCIAL,STANDARD,MEDIUM_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-242,,,,,,,,,,,,,,True,ATR42,PELITA,COMMERCIAL,A2
SYNTH-33,,,,,,,,,,,,,,True,CL850,TRAVIRA,CHARTER,B3
SYNTH-19,,,,,,,,,,,,,,True,CL850,AFM,CHARTER,B3
SYNTH-424,,,,,,,,,,,,,,True,DC10,BBN,CARGO,B9
PK-LUK,A 320,8:15,8:50,A3,WIBB,WARR,ID 7066,ID 7513,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
VP-CGO,GLEX,16:16,16:43,B8,WIII,HGR,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-CAQ,KING AIR,15:12,16:03,B6,WATO,WIRR,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-468,,,,,,,,,,,,,,True,B742,AIRNESIA,CARGO,B7
PK-LUR,A 320,19:27,20:05,B1,WARR,WIPP,ID 7514,ID 7055,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-GMW,B 738,21:32,,B1,WARR,,GA 3354,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-YSH,B 733,11:06,15:33,B12,WAGG,WIKK,IL 714,IL 715,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LUQ,A 320,16:04,20:42,B6,WIPP,B7,ID 7052,,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GJT,ATR 72,8:24,8:52,B2,WAHH,WAHH,QG 1101,QG 1104,CITILINK,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
SYNTH-232,,,,,,,,,,,,,,True,B742,JAYAWIJAYA,CARGO,B12
SYNTH-571,,,,,,,,,,,,,,True,A321,PELITA,COMMERCIAL,B3
T7-TUN,HK 850,11:33,13:34,B3,NSA13,WAOO,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-GMD,B 738,22:02,,B5,WADD,,GA 0463,,GARUDA,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-LAF,A 320,16:31,17:30,B1,WARA,WADD,ID 7582,ID 7311,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-CAA,CT 700,5:35,6:48,B6,WIRR,WALL,,,B.G.S,CHARTER,STANDARD,LOW_FREQUENCY,MIDDLE_CHARTER,False,,,,
SYNTH-452,,,,,,,,,,,,,,True,DC10,BBN,CARGO,B8
PK-BKJ,A 320,12:45,13:51,B8,WAHS,WIMM,ID 7556,ID 7011,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-LAF,A 320,13:46,16:16,B8,WADD,WIPP,ID 7308,ID 7059,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
11-3097,DO 328,14:02,14:36,B10,RPLL,SA06,,,JAS,CHARTER,STANDARD,LOW_FREQUENCY,LEFT_CARGO,False,,,,
PK-LUT,A 320,17:42,18:38,B4,WAHS,WIBB,ID 7558,ID 7065,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BLB,A 320,15:10,17:37,A3,RTA,WAHS,,ID 7559,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-BKY,A 320,8:09,8:52,B1,WIBB,WARR,ID 7066,ID 7513,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-PAH,ATR 72,19:12,21:05,A3,WIDM,RE03,IP 7301,,PELITA,CHARTER,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-LAO,A 320,10:23,11:18,A2,WARA,WARA,ID 7580,ID 7583,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
M-JGVJ,GLEX,6:01,8:05,B5,RW05,WAHQ,,,KARISMA,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-ARN,G VI,17:58,19:52,B1,WAGI,HGR,,,PREMI,CHARTER,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-YSH,B 733,16:56,,B13,WIDN,,IL 718,,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
SYNTH-SUSI-114,,,,,,,,,,,,,,True,C172,SUSI AIR,COMMERCIAL,A0
PK-LUR,A 320,12:10,12:52,B7,WAHQ,WARR,ID 7040,ID 7515,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
T7-HNA,G IV,8:30,11:10,B4,B7,WALS,,,AFM,CHARTER,STANDARD,HIGH_FREQUENCY,MIDDLE_CHARTER,False,,,,
PK-BLA,A 320,8:39,9:44,A2,,WADD,ID 7056,ID 7309,BATIK AIR,COMMERCIAL,STANDARD,HIGH_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-KAS,CL 850,5:48,8:19,B11,RW05,WADD,,,JETSET,CHARTER,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
PK-PAH,ATR 72,19:58,,A2,WIDM,,IP 7301,,PELITA,CHARTER,STANDARD,MEDIUM_FREQUENCY,RIGHT_COMMERCIAL,False,,,,
PK-YSH,B 733,16:41,18:32,B11,WAMM,WAOO,IL 730,IL 725,TRIGANA,CARGO,STANDARD,HIGH_FREQUENCY,LEFT_CARGO,False,,,,
