REGISTRATION,TYPE,OPERATOR / AIRLINES,CATEGORY,PARKING STAND,IS_SYNTHETIC
SYNTH-562,B737,PELITA,COMMERCIAL,B2,True
SYNTH-563,B737,PELITA,COMMERCIAL,B2,True
SYNTH-564,B737,PELITA,COMMERCIAL,B2,True
SYNTH-565,B738,PELITA,COMMERCIAL,B2,True
SYNTH-566,B737,PELITA,COMMERCIAL,B2,True
SYNTH-567,ATR42,PELITA,COMMERCIAL,B2,True
SYNTH-568,A320,PELITA,COMMERCIAL,B2,True
SYNTH-569,A321,PELITA,COMMERCIAL,B2,True
SYNTH-570,A321,PELITA,COMMERCIAL,B3,True
SYNTH-571,A321,PELITA,COMMERCIAL,B3,True
SYNTH-572,ATR72,PELITA,COMMERCIAL,B3,True
SYNTH-573,B738,PELITA,COMMERCIAL,B3,True
SYNTH-574,A321,PELITA,COMMERCIAL,B3,True
SYNTH-575,B738,PELITA,COMMERCIAL,B3,True
SYNTH-576,ATR42,PELITA,COMMERCIAL,B3,True
SYNTH-577,A321,PELITA,COMMERCIAL,B3,True
SYNTH-578,ATR42,PELITA,COMMERCIAL,B3,True
SYNTH-579,B737,PELITA,COMMERCIAL,B3,True
SYNTH-580,A321,PELITA,COMMERCIAL,B3,True
SYNTH-581,B738,PELITA,COMMERCIAL,B3,True
SYNTH-582,B738,PELITA,COMMERCIAL,B3,True
SYNTH-583,B737,PELITA,COMMERCIAL,B3,True
SYNTH-584,ATR72,PELITA,COMMERCIAL,B3,True
SYNTH-585,A321,PELITA,COMMERCIAL,B3,True
SYNTH-586,ATR42,PELITA,COMMERCIAL,B3,True
SYNTH-587,B738,PELITA,COMMERCIAL,B3,True
SYNTH-588,ATR42,PELITA,COMMERCIAL,B3,True
SYNTH-589,B737,PELITA,COMMERCIAL,B3,True
SYNTH-590,ATR72,PELITA,COMMERCIAL,B3,True
SYNTH-591,A321,PELITA,COMMERCIAL,B3,True
SYNTH-592,A321,PELITA,COMMERCIAL,B3,True
SYNTH-593,ATR42,PELITA,COMMERCIAL,B3,True
SYNTH-594,B737,PELITA,COMMERCIAL,B3,True
SYNTH-595,A320,PELITA,COMMERCIAL,B3,True
SYNTH-596,ATR42,PELITA,COMMERCIAL,B3,True
SYNTH-597,ATR72,PELITA,COMMERCIAL,B3,True
SYNTH-598,A321,PELITA,COMMERCIAL,B3,True
SYNTH-599,B738,PELITA,COMMERCIAL,B3,True
SYNTH-600,A320,PELITA,COMMERCIAL,B3,True
SYNTH-601,ATR72,PELITA,COMMERCIAL,B3,True
SYNTH-602,ATR72,PELITA,COMMERCIAL,B3,True
SYNTH-603,A321,PELITA,COMMERCIAL,B3,True
SYNTH-604,B738,PELITA,COMMERCIAL,B3,True
SYNTH-605,ATR72,PELITA,COMMERCIAL,B3,True
SYNTH-606,A320,PELITA,COMMERCIAL,B3,True
SYNTH-607,B737,PELITA,COMMERCIAL,B4,True
SYNTH-608,ATR72,PELITA,COMMERCIAL,B4,True
SYNTH-609,A320,PELITA,COMMERCIAL,B4,True
SYNTH-610,A321,PELITA,COMMERCIAL,B4,True
SYNTH-611,B737,PELITA,COMMERCIAL,B4,True
SYNTH-612,B738,PELITA,COMMERCIAL,B4,True
SYNTH-613,B738,PELITA,COMMERCIAL,B4,True
SYNTH-614,ATR72,PELITA,COMMERCIAL,B4,True
SYNTH-615,A320,PELITA,COMMERCIAL,B4,True
SYNTH-616,B738,PELITA,COMMERCIAL,B4,True
SYNTH-617,B737,PELITA,COMMERCIAL,B4,True
SYNTH-618,A321,PELITA,COMMERCIAL,B4,True
SYNTH-619,B737,PELITA,COMMERCIAL,B4,True
SYNTH-620,B737,PELITA,COMMERCIAL,B4,True
SYNTH-621,A320,PELITA,COMMERCIAL,B4,True
SYNTH-622,ATR42,PELITA,COMMERCIAL,B4,True
SYNTH-623,ATR42,PELITA,COMMERCIAL,B4,True
SYNTH-624,ATR42,PELITA,COMMERCIAL,B4,True
SYNTH-625,B738,PELITA,COMMERCIAL,B4,True
SYNTH-626,A320,PELITA,COMMERCIAL,B4,True
SYNTH-627,A321,PELITA,COMMERCIAL,B4,True
SYNTH-628,ATR72,PELITA,COMMERCIAL,B4,True
SYNTH-629,B738,PELITA,COMMERCIAL,B4,True
SYNTH-630,A321,PELITA,COMMERCIAL,B4,True
SYNTH-631,ATR42,PELITA,COMMERCIAL,B4,True
SYNTH-632,ATR72,PELITA,COMMERCIAL,B4,True
SYNTH-633,A320,PELITA,COMMERCIAL,B4,True
SYNTH-634,ATR72,PELITA,COMMERCIAL,B5,True
SYNTH-635,ATR42,PELITA,COMMERCIAL,B5,True
SYNTH-636,B738,PELITA,COMMERCIAL,B5,True
SYNTH-637,ATR72,PELITA,COMMERCIAL,B5,True
SYNTH-638,A321,PELITA,COMMERCIAL,B5,True
SYNTH-639,B737,PELITA,COMMERCIAL,B5,True
SYNTH-640,ATR72,PELITA,COMMERCIAL,B5,True
SYNTH-641,B738,PELITA,COMMERCIAL,B5,True
SYNTH-642,A321,PELITA,COMMERCIAL,B5,True
SYNTH-643,B738,PELITA,COMMERCIAL,B5,True
SYNTH-644,A321,PELITA,COMMERCIAL,B5,True
SYNTH-645,A321,PELITA,COMMERCIAL,B5,True
SYNTH-646,B738,PELITA,COMMERCIAL,B5,True
SYNTH-647,ATR72,PELITA,COMMERCIAL,B5,True
SYNTH-648,A320,PELITA,COMMERCIAL,B5,True
SYNTH-649,ATR72,PELITA,COMMERCIAL,B5,True
SYNTH-650,A321,PELITA,COMMERCIAL,B5,True
SYNTH-651,A320,PELITA,COMMERCIAL,B5,True
SYNTH-652,B737,PELITA,COMMERCIAL,B5,True
SYNTH-653,A321,PELITA,COMMERCIAL,B6,True
SYNTH-654,B737,PELITA,COMMERCIAL,B6,True
SYNTH-655,ATR72,PELITA,COMMERCIAL,B6,True
SYNTH-656,A320,PELITA,COMMERCIAL,B6,True
SYNTH-657,ATR42,PELITA,COMMERCIAL,B6,True
SYNTH-658,B737,PELITA,COMMERCIAL,B6,True
SYNTH-659,A320,PELITA,COMMERCIAL,B6,True
SYNTH-660,B738,PELITA,COMMERCIAL,B6,True
SYNTH-661,A320,PELITA,COMMERCIAL,B6,True
SYNTH-662,A321,PELITA,COMMERCIAL,B6,True
SYNTH-663,ATR72,PELITA,COMMERCIAL,B6,True
SYNTH-664,A321,PELITA,COMMERCIAL,B6,True
SYNTH-665,B738,PELITA,COMMERCIAL,B6,True
SYNTH-666,A320,PELITA,COMMERCIAL,B7,True
SYNTH-667,ATR42,PELITA,COMMERCIAL,B7,True
SYNTH-668,ATR72,PELITA,COMMERCIAL,B7,True
SYNTH-669,B737,PELITA,COMMERCIAL,B7,True
SYNTH-670,B737,PELITA,COMMERCIAL,B7,True
SYNTH-671,B738,PELITA,COMMERCIAL,B7,True
SYNTH-672,ATR72,PELITA,COMMERCIAL,B7,True
SYNTH-673,ATR72,PELITA,COMMERCIAL,B7,True
SYNTH-674,A321,PELITA,COMMERCIAL,B7,True
SYNTH-675,A320,PELITA,COMMERCIAL,B8,True
SYNTH-676,ATR72,PELITA,COMMERCIAL,B8,True
SYNTH-677,ATR72,PELITA,COMMERCIAL,B8,True
SYNTH-678,B737,PELITA,COMMERCIAL,B8,True
SYNTH-679,A321,PELITA,COMMERCIAL,B8,True
SYNTH-680,B737,PELITA,COMMERCIAL,B8,True
SYNTH-681,ATR42,PELITA,COMMERCIAL,B8,True
SYNTH-682,B737,PELITA,COMMERCIAL,B9,True
SYNTH-683,ATR72,PELITA,COMMERCIAL,B9,True
SYNTH-684,A320,PELITA,COMMERCIAL,B9,True
SYNTH-685,B737,PELITA,COMMERCIAL,B9,True
SYNTH-686,A321,PELITA,COMMERCIAL,B9,True
SYNTH-687,ATR42,PELITA,COMMERCIAL,B10,True
SYNTH-688,A320,PELITA,COMMERCIAL,B10,True
SYNTH-689,A320,PELITA,COMMERCIAL,B10,True
SYNTH-690,ATR72,PELITA,COMMERCIAL,B10,True
SYNTH-691,B737,PELITA,COMMERCIAL,B10,True
SYNTH-692,ATR72,PELITA,COMMERCIAL,B11,True
SYNTH-693,A320,PELITA,COMMERCIAL,B11,True
SYNTH-694,B737,PELITA,COMMERCIAL,B11,True
SYNTH-695,A321,PELITA,COMMERCIAL,B11,True
SYNTH-696,B737,PELITA,COMMERCIAL,B11,True
SYNTH-697,A321,PELITA,COMMERCIAL,B12,True
SYNTH-698,A321,PELITA,COMMERCIAL,B12,True
SYNTH-699,B738,PELITA,COMMERCIAL,B12,True
SYNTH-700,B738,PELITA,COMMERCIAL,B12,True
SYNTH-701,A320,PELITA,COMMERCIAL,B12,True
SYNTH-702,ATR72,PELITA,COMMERCIAL,B13,True
SYNTH-703,A321,PELITA,COMMERCIAL,B13,True
SYNTH-704,A320,PELITA,COMMERCIAL,B13,True
SYNTH-705,B737,PELITA,COMMERCIAL,B13,True
SYNTH-706,B737,PELITA,COMMERCIAL,B13,True
SYNTH-0,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-1,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-2,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-3,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-4,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-5,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-6,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-7,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-8,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-9,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-10,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-11,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-12,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-13,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-14,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-15,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-16,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-17,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-18,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-19,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-20,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-21,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-22,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-23,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-24,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-25,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-26,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-27,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-28,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-29,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-30,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-31,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-32,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-33,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-34,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-35,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-36,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-37,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-38,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-39,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-40,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-41,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-42,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-43,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-44,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-45,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-46,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-47,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-48,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-49,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-50,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-51,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-52,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-53,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-54,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-55,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-56,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-57,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-58,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-59,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-60,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-61,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-62,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-63,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-64,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-65,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-66,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-67,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-68,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-69,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-70,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-71,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-72,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-73,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-74,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-75,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-76,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-77,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-78,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-79,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-80,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-81,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-82,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-83,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-84,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-85,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-86,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-87,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-88,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-89,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-90,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-91,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-92,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-93,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-94,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-95,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-96,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-97,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-98,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-99,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-100,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-101,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-102,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-103,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-104,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-105,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-106,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-107,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-108,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-109,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-110,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-111,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-112,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-113,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-114,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-115,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-116,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-117,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-118,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-119,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-120,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-121,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-122,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-123,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-124,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-125,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-126,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-127,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-128,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-129,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-130,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-131,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-132,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-133,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-134,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-135,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-136,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-137,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-138,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-139,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-140,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-141,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-142,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-143,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-144,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-145,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-146,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-147,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-148,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-149,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-150,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-151,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-152,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-153,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-154,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-155,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-156,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-157,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-158,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-159,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-160,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-161,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-162,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-163,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-164,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-165,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-166,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-167,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-168,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-169,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-170,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-171,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-172,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-173,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-174,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-175,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-176,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-177,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-178,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-179,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-180,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-181,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-182,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-183,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-184,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-185,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-186,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-187,A321,SUSI AIR,COMMERCIAL,A0,True
SYNTH-188,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-189,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-190,A320,SUSI AIR,COMMERCIAL,A0,True
SYNTH-191,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-192,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-193,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-194,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-195,ATR42,SUSI AIR,COMMERCIAL,A0,True
SYNTH-196,B738,SUSI AIR,COMMERCIAL,A0,True
SYNTH-197,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-198,B737,SUSI AIR,COMMERCIAL,A0,True
SYNTH-199,ATR72,SUSI AIR,COMMERCIAL,A0,True
SYNTH-200,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-201,A321,SUSI AIR,COMMERCIAL,A1,True
SYNTH-202,ATR42,SUSI AIR,COMMERCIAL,A1,True
SYNTH-203,ATR72,SUSI AIR,COMMERCIAL,A1,True
SYNTH-204,A320,SUSI AIR,COMMERCIAL,A1,True
SYNTH-205,ATR42,SUSI AIR,COMMERCIAL,A1,True
SYNTH-206,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-207,A320,SUSI AIR,COMMERCIAL,A1,True
SYNTH-208,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-209,ATR72,SUSI AIR,COMMERCIAL,A1,True
SYNTH-210,A320,SUSI AIR,COMMERCIAL,A1,True
SYNTH-211,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-212,B737,SUSI AIR,COMMERCIAL,A1,True
SYNTH-213,ATR72,SUSI AIR,COMMERCIAL,A1,True
SYNTH-214,ATR42,SUSI AIR,COMMERCIAL,A1,True
SYNTH-215,ATR42,SUSI AIR,COMMERCIAL,A1,True
SYNTH-216,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-217,ATR42,SUSI AIR,COMMERCIAL,A1,True
SYNTH-218,A320,SUSI AIR,COMMERCIAL,A1,True
SYNTH-219,ATR72,SUSI AIR,COMMERCIAL,A1,True
SYNTH-220,ATR72,SUSI AIR,COMMERCIAL,A1,True
SYNTH-221,A320,SUSI AIR,COMMERCIAL,A1,True
SYNTH-222,A320,SUSI AIR,COMMERCIAL,A1,True
SYNTH-223,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-224,ATR72,SUSI AIR,COMMERCIAL,A1,True
SYNTH-225,A321,SUSI AIR,COMMERCIAL,A1,True
SYNTH-226,ATR42,SUSI AIR,COMMERCIAL,A1,True
SYNTH-227,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-228,A321,SUSI AIR,COMMERCIAL,A1,True
SYNTH-229,ATR42,SUSI AIR,COMMERCIAL,A1,True
SYNTH-230,B737,SUSI AIR,COMMERCIAL,A1,True
SYNTH-231,A321,SUSI AIR,COMMERCIAL,A1,True
SYNTH-232,B737,SUSI AIR,COMMERCIAL,A1,True
SYNTH-233,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-234,A321,SUSI AIR,COMMERCIAL,A1,True
SYNTH-235,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-236,ATR72,SUSI AIR,COMMERCIAL,A1,True
SYNTH-237,B737,SUSI AIR,COMMERCIAL,A1,True
SYNTH-238,ATR42,SUSI AIR,COMMERCIAL,A1,True
SYNTH-239,ATR72,SUSI AIR,COMMERCIAL,A1,True
SYNTH-240,B737,SUSI AIR,COMMERCIAL,A1,True
SYNTH-241,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-242,A320,SUSI AIR,COMMERCIAL,A1,True
SYNTH-243,ATR42,SUSI AIR,COMMERCIAL,A1,True
SYNTH-244,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-245,A321,SUSI AIR,COMMERCIAL,A1,True
SYNTH-246,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-247,ATR42,SUSI AIR,COMMERCIAL,A1,True
SYNTH-248,B737,SUSI AIR,COMMERCIAL,A1,True
SYNTH-249,B737,SUSI AIR,COMMERCIAL,A1,True
SYNTH-250,ATR42,SUSI AIR,COMMERCIAL,A1,True
SYNTH-251,A320,SUSI AIR,COMMERCIAL,A1,True
SYNTH-252,A320,SUSI AIR,COMMERCIAL,A1,True
SYNTH-253,A320,SUSI AIR,COMMERCIAL,A1,True
SYNTH-254,ATR72,SUSI AIR,COMMERCIAL,A1,True
SYNTH-255,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-256,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-257,B737,SUSI AIR,COMMERCIAL,A1,True
SYNTH-258,ATR42,SUSI AIR,COMMERCIAL,A1,True
SYNTH-259,A321,SUSI AIR,COMMERCIAL,A1,True
SYNTH-260,ATR42,SUSI AIR,COMMERCIAL,A1,True
SYNTH-261,ATR72,SUSI AIR,COMMERCIAL,A1,True
SYNTH-262,B737,SUSI AIR,COMMERCIAL,A1,True
SYNTH-263,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-264,ATR72,SUSI AIR,COMMERCIAL,A1,True
SYNTH-265,B738,SUSI AIR,COMMERCIAL,A1,True
SYNTH-266,A321,SUSI AIR,COMMERCIAL,A1,True
SYNTH-267,ATR42,SUSI AIR,COMMERCIAL,A1,True
SYNTH-268,A320,SUSI AIR,COMMERCIAL,A1,True
SYNTH-269,ATR72,SUSI AIR,COMMERCIAL,A1,True
SYNTH-270,A321,SUSI AIR,COMMERCIAL,A1,True
SYNTH-271,A320,SUSI AIR,COMMERCIAL,A1,True
SYNTH-272,ATR72,SUSI AIR,COMMERCIAL,A1,True
SYNTH-273,A320,SUSI AIR,COMMERCIAL,A1,True
SYNTH-274,ATR72,SUSI AIR,COMMERCIAL,A1,True
SYNTH-275,ATR42,SUSI AIR,COMMERCIAL,A1,True
SYNTH-276,A320,SUSI AIR,COMMERCIAL,A1,True
SYNTH-277,B737,SUSI AIR,COMMERCIAL,A1,True
SYNTH-278,ATR72,SUSI AIR,COMMERCIAL,A1,True
SYNTH-279,B737,SUSI AIR,COMMERCIAL,A1,True
SYNTH-280,B738,SUSI AIR,COMMERCIAL,A1,True
